,Measurement,Temperature,Mass,Size,Time Constraint,Non-labelData,LabelData,Data,Overall
0,0.792453,0,0.888889,1,0,0.666667,0.5,0.4375,0.78481
1,0.828125,0,0.888889,1,0,0.333333,0.714286,0.368421,0.773585
2,0.850746,0,0.818182,1,0,0.666667,0.666667,0.47619,0.768293
3,0.868852,0,0.923077,1,0,0.333333,0.307692,0.32,0.752941
4,0.859649,0,0,1,0,0.333333,0.5,0.5,0.762821
5,0.824561,0,0.916667,1,0,0.5,0.666667,0.36,0.787097
6,0.811594,0,0.916667,1,0,0.666667,0.428571,0.47619,0.725146
7,0.848485,0,0.909091,1,0,0.25,0.714286,0.541667,0.774834
8,0.795918,0,0.909091,1,0,0.333333,0.384615,0.478261,0.75625
9,0.788462,0,0.916667,1,0,0.571429,0.545455,0.478261,0.759494
10,0.84,0,0.933333,1,0,0.333333,0.571429,0.5,0.761006
11,0.815385,0,0.833333,1,0,0.5,0.5,0.52381,0.78481
12,0.846154,0,0.888889,1,0,0.2,0.75,0.473684,0.751515
13,0.827586,0,0.954545,0.857143,0,0.666667,0.307692,0.5,0.758389
14,0.873016,0,0.916667,1,0,0.571429,0.615385,0.521739,0.756098
15,0.854839,0,0.9375,1,0,0.444444,0.333333,0.451613,0.743902
16,0.80303,0,0.909091,1,0,0.333333,0.307692,0.411765,0.772152
17,0.826087,0,0.888889,1,0,0.5,0.75,0.535714,0.759036
18,0.842105,0,0.916667,1,0,0.333333,0.357143,0.538462,0.738562
19,0.818182,0,0.333333,1,0,0.666667,0.625,0.428571,0.770701
20,0.297872,0,0.168421,0.111111,0,0.111111,0.071429,0.09589,0.556054
21,0.375887,0,0.168421,0.166667,0,0.055556,0.089286,0.09589,0.55157
22,0.404255,0,0.094737,0.111111,0,0.222222,0.107143,0.136986,0.565022
23,0.375887,0,0.126316,0.138889,0,0.055556,0.071429,0.109589,0.573991
24,0.347518,0,0,0.138889,0,0.055556,0.053571,0.164384,0.533632
25,0.333333,0,0.115789,0.138889,0,0.055556,0.071429,0.123288,0.547085
26,0.397163,0,0.231579,0.222222,0,0.222222,0.053571,0.136986,0.556054
27,0.397163,0,0.105263,0.277778,0,0.055556,0.089286,0.178082,0.524664
28,0.276596,0,0.105263,0.138889,0,0.055556,0.089286,0.150685,0.542601
29,0.29078,0,0.115789,0.138889,0,0.222222,0.107143,0.150685,0.538117
30,0.446809,0,0.147368,0.361111,0,0.055556,0.071429,0.150685,0.542601
31,0.375887,0,0.105263,0.305556,0,0.055556,0.035714,0.150685,0.556054
32,0.390071,0,0.168421,0.111111,0,0.055556,0.107143,0.123288,0.556054
33,0.340426,0,0.221053,0.166667,0,0.222222,0.071429,0.136986,0.506726
34,0.390071,0,0.115789,0.111111,0,0.222222,0.142857,0.164384,0.556054
35,0.375887,0,0.157895,0.25,0,0.222222,0.071429,0.191781,0.547085
36,0.375887,0,0.105263,0.138889,0,0.055556,0.071429,0.09589,0.547085
37,0.404255,0,0.168421,0.222222,0,0.111111,0.107143,0.205479,0.565022
38,0.340426,0,0.115789,0.25,0,0.055556,0.089286,0.191781,0.506726
39,0.382979,0,0.010526,0.361111,0,0.222222,0.089286,0.123288,0.542601
40,0.43299,0,0.283186,0.2,0,0.190476,0.125,0.157303,0.650919
41,0.517073,0,0.283186,0.285714,0,0.095238,0.15873,0.152174,0.643979
42,0.548077,0,0.169811,0.2,0,0.333333,0.184615,0.212766,0.651163
43,0.524752,0,0.222222,0.243902,0,0.095238,0.115942,0.163265,0.651399
44,0.494949,0,0,0.243902,0,0.095238,0.096774,0.247423,0.627968
45,0.474747,0,0.205607,0.243902,0,0.1,0.129032,0.183673,0.645503
46,0.533333,0,0.369748,0.363636,0,0.333333,0.095238,0.212766,0.629442
47,0.541063,0,0.188679,0.434783,0,0.090909,0.15873,0.268041,0.625668
48,0.410526,0,0.188679,0.243902,0,0.095238,0.144928,0.229167,0.631854
49,0.42487,0,0.205607,0.243902,0,0.32,0.179104,0.229167,0.629921
50,0.583333,0,0.254545,0.530612,0,0.095238,0.126984,0.231579,0.633508
51,0.514563,0,0.186916,0.468085,0,0.1,0.066667,0.234043,0.650919
52,0.533981,0,0.283186,0.2,0,0.086957,0.1875,0.195652,0.639175
53,0.482412,0,0.358974,0.27907,0,0.333333,0.115942,0.215054,0.607527
54,0.539216,0,0.205607,0.2,0,0.32,0.231884,0.25,0.640827
55,0.522167,0,0.27027,0.4,0,0.296296,0.117647,0.269231,0.630491
56,0.512077,0,0.188679,0.243902,0,0.095238,0.115942,0.155556,0.64042
57,0.542857,0,0.283186,0.363636,0,0.181818,0.1875,0.29703,0.647815
58,0.484848,0,0.205607,0.4,0,0.095238,0.142857,0.282828,0.601064
59,0.521739,0,0.020408,0.530612,0,0.333333,0.15625,0.191489,0.636842
